job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
5af53a8d3f57a389515239be,tensorflow,1,Failed,1609746,,600,29.296875,10,MISC
347bea5c3db7936bc453fb2b,worker,30,Terminated,1683067,1684903,400,14.6484375,50,MISC
b2168b410dbe0e61a9a9693a,ps,1,Terminated,2073500,2073513,200,4,,
08462761cb1e7bba0bec16e7,tensorflow,1,Terminated,2108649,2113058,600,29.296875,10,MISC
de803782a47a3b5aa32e50f6,tensorflow,1,Failed,2904558,,600,29.296875,10,MISC
7c8230cb01e9ccebcf1b5367,tensorflow,1,Terminated,1554878,1554911,600,29.296875,100,MISC
a12d385ad81d1adedb3e1828,PyTorchWorker,4,Terminated,1554297,1558352,1600,9.765625,100,MISC
edb8477770b707b1f47d0d45,ps,1,Running,1587910,,600,1.953125,,
3bdca3975717abccd26dce19,tensorflow,1,Terminated,1793947,1795969,600,29.296875,100,MISC
3fa1f8521138ae0d4794cc2e,ps,3,Terminated,3278608,3295016,600,9.765625,,
9bb6cdc06babaa1ef0870eba,tensorflow,1,Terminated,3264087,3264215,600,29.296875,25,MISC
070d779259e097b431990ddc,worker,20,Terminated,3505572,3507071,200,5.859375,25,MISC
e4cf82c46b49e6e76e69e11b,ps,1,Terminated,3347022,3347126,600,1.953125,,
0f3be4a79dec312674195d53,tensorflow,1,Terminated,2856236,2866799,600,29.296875,100,MISC
c228d7cbc42bc23ba73970a6,tensorflow,1,Terminated,2714264,2715064,600,29.296875,100,MISC
5456c37718a5f7639b291da9,tensorflow,1,Terminated,2689044,2708685,600,29.296875,100,MISC
50262d5660b157f33db7a58a,tensorflow,1,Terminated,1241524,1241574,600,29.296875,100,MISC
53e133c441780806435ac9cc,PyTorchWorker,16,Failed,1242976,,1800,58.59375,100,P100
eb83f65b2cdf1a35418ba6fb,worker,10,Terminated,1172952,1187630,600,8.5,25,T4
a6d0bce75d70c86d132267ad,tensorflow,1,Terminated,3426664,3427583,10,29.296875,10,MISC
fb299fdf6d94315f6c2b62b4,tensorflow,1,Terminated,3361005,3363098,600,29.296875,100,MISC
2d126431467e70294138ded2,worker,25,Terminated,3412397,3418421,800,15.625,100,MISC
7f672774075272bf81229efe,tensorflow,1,Terminated,1417491,1426811,600,29.296875,25,MISC
c588e01c38cb1a9f6a516790,tensorflow,1,Terminated,1392841,1392867,600,29.296875,100,MISC
68446f7b986bf7505ab66c1b,tensorflow,1,Terminated,3532642,3532676,600,29.296875,10,T4
d5057532eb3590751740610a,tensorflow,1,Terminated,3595417,3595705,600,29.296875,100,T4
f81661259bcd312827165eb1,worker,1,Terminated,3550772,3551240,600,29.296875,25,MISC
4ef770761ff53ec51d1c5f87,tensorflow,1,Failed,2540782,,600,29.296875,100,MISC
91e81462465db66b257464d6,tensorflow,1,Failed,2492537,,600,29.296875,100,MISC
108d9fab2dcded19d90d723a,worker,4,Terminated,2528233,2545024,600,29.296875,25,MISC
112d13a1fa1c5d498f11c7b3,tensorflow,1,Terminated,3123946,3124027,600,29.296875,100,MISC
0d67b46d26a372a959c813b5,PyTorchWorker,8,Failed,2253501,,800,62.5,100,V100
16af5b2db2a72f5b5e783c39,ps,1,Terminated,1111341,1111394,600,29.296875,100,MISC
